certification_id,certification_title,institute
Acc-Eng,Accredited Engineer,NULL
BCMS,Business Continuity Management Solution,NULL
CEH,Certified Ethical Hacker (CEH),NULL
InTen,Introduction to Tenable.io,NULL
CCSK,Certificate of Cloud Security Knowledge,NULL
CDPSE,Certified Data Privacy Solutions Engineer,NULL
CRISC,Certified in Risk and Information Systems Control,NULL
CISM,Certified Information Security Manager,NULL
CISA,Certified Information Systems Auditor,NULL
CC,Crtified in Cybersecurity,NULL
GRCP-A,GRC Professional - Auditor,NULL
ISMS-LA,Information Security Management System - Lead Auditor,NULL
GXPN,"Certificate of Completion Advanced Penetration Testing, Exploit Writing, and Ethical Hacking",NULL
CEH,Certified Ethical Hacker (CEH),NULL
CySA+,CompTIA CySA+ ce Certification,NULL
CSAP,CompTIA Security Analytics Professional – CSAP Stackable Certification,NULL
SeCE,CompTIA Security+ ce Certification,NULL
TWTC,Tripwire Enterprise Training Certification,NULL
CSXF,CSX Cybersecurity Fundamentals Certificate,NULL
ITIL,ITIL Foundation Level,NULL
MSO,Microsoft Office Specialist: Microsoft Office Specialist on Microsoft Office 2016 Certification,NULL
RedHat,Red Hat Certified System Administrator in Red Hat OpenStack,NULL
ACP,Agile Certified Practitioner,NULL
CISM,Certified Information Security Manager,NULL
CISA,Certified Information Systems Auditor,NULL
Cloud,Cloud Certification,NULL
DevOps,DevOps Practices and Principles,NULL
IoT,Internet of Things Certification,NULL
ITIL,ITIL 4 Foundation CPD,NULL
LPIC,Linux Professional Institute Certification,NULL
MCSA,MCSA: Web Applications - Certified 2020,NULL
MCSD,MCSD: App Builder — Certified 2020,NULL
MCSE,MCSE: Data Management and Analytics — Certified 2020,NULL
MCP,Microsoft Certified Professional,NULL
MCT,Microsoft Certified Trainer 2020-2021,NULL
PMP,Project Management Professional,NULL
RMP,Risk Management Professional,NULL
TOGAF,The Open Group Architecture Framework,NULL
CISM,Certified Information Security Manager,NULL
CISSP,Certified Information Systems Security Professional,NULL
GIAC,GIAC Security Essentials (GSEC) certification,NULL
ITIL,Information Technology Infrastructure Library,NULL
PMP,Project Management Professional,NULL
BCMS,Business Continuity Management Solution,NULL
CISM,Certified Information Security Manager,NULL
CISA,Certified Information Systems Auditor,NULL
CDPO,GDPR- Certified Data Protection Officer,NULL
ISMS,Information Security Management System,NULL
SIEM,Security Information and Event Management System,NULL
CEH,Certified Ethical Hacker,NULL
CISM,Certified Information Security Manager,NULL
CNDA,Certified Network Defense Architect,NULL
CISM,Certified Information Security Manager,NULL
CYSA,CompTIA Cybersecurity Analyst,NULL
SEC,CompTIA Security+,NULL
ECHI,EC-Council Certified Incident Handler v2,NULL
ECIH,EC-Council Certified Incident Handler v2,NULL
NSE,Network Security Associate,NULL
Vmware,"VMware vSphere: Install, Configure, Manage",NULL
ZCCA-IA,Zscaler Certified Cloud Administrator Internet Access,NULL
No Certification,No Certification,NULL
ACE,AccessData Certified Examiner,NULL
CRISC,Certified in Risk and Information Systems Control,NULL
CISM,Certified Information Security Manager,NULL
ISO-22301,Certified ISO 22301:2012 Lead Implementer,NULL
CCNA,Cisco Certified Network Associate,NULL
